"","sample","Area.12.0","Area.BHT","Area.13.0","Area.i.14.0","Area.14.0","Area.14.1n.9","Area.14.1n.7","Area.14.1n.5","Area.i.15.0","Area.ai.15.0","Area.15.0","Area.i16.0","Area.16.0","Area.16.1n.11","Area.16.1n.9","Area.16.1n.7","Area.16.1n.5","Area.17.1.a.","Area.i.17.0","Area.16.2n.6","Area.ai.17.0","Area.17.1.b.","Area.16.2n.4","Area.17.0","Area.Phytane","Area.16.3n.4","Area.17.1","Area.16.4n.3","Area.16.4n.1","Area.18.0","Area.18.1n.13","Area.18.1n.11","Area.18.1n.9","Area.18.1n.7","Area.18.1n.5","Area.18.2d5.11","Area.18.2n.7","Area.18.2n.6","Area.18.2n.4","Area.18.3n.6","Area.18.3n.4","Area.18.3n.3","Area.18.3n.1","Area.18.4n.3","Area.18.4n.1","Area.20.0","Area.20.1n.11","Area.20.1n.9","Area.20.1n.7","Area.20.2NMID1","Area.20.2n.9","Area.20.2NMID2","Area.20.2n.6","Area.20.3NMIT","Area.20.3n.6","Area.20.4n.6","Area.20.3n.3","Area.20.4n.3","Area.20.5n.3","Area.22.0","Area.22.1n.11","Area.22.1n.9","Area.22.1n.7","Area.22.2NMID1","Area.22.2NMID2","Area.22.2n.6","Area.21.5n.3","Area.23.0","Area.22.4n.6","Area.22.5n.6","Area.22.4n.3","Area.22.5n.3","Area.24.0","Area.22.6n.3","Area.24.1n.9","Area.12.0.1","Area.BHT.1","Area.13.0.1","Area.i.14.0.1","Area.14.0.1","Area.14.1n.9.1","Area.14.1n.7.1","Area.14.1n.5.1","Area.i.15.0.1","Area.ai.15.0.1","Area.15.0.1","Area.i16.0.1","Area.16.0.1","Area.16.1n.11.1","Area.16.1n.9.1","Area.16.1n.7.1","Area.16.1n.5.1","Area.17.1.a..1","Area.i.17.0.1","Area.16.2n.6.1","Area.ai.17.0.1","Area.17.1.b..1","Area.16.2n.4.1","Area.17.0.1","Area.Phytane.1","Area.16.3n.4.1","Area.17.1.1","Area.16.4n.3.1","Area.16.4n.1.1","Area.18.0.1","Area.18.1n.13.1","Area.18.1n.11.1","Area.18.1n.9.1","Area.18.1n.7.1","Area.18.1n.5.1","Area.18.2d5.11.1","Area.18.2n.7.1","Area.18.2n.6.1","Area.18.2n.4.1","Area.18.3n.6.1","Area.18.3n.4.1","Area.18.3n.3.1","Area.18.3n.1.1","Area.18.4n.3.1","Area.18.4n.1.1","Area.20.0.1","Area.20.1n.11.1","Area.20.1n.9.1","Area.20.1n.7.1","Area.20.2NMID1.1","Area.20.2n.9.1","Area.20.2NMID2.1","Area.20.2n.6.1","Area.20.3NMIT.1","Area.20.3n.6.1","Area.20.4n.6.1","Area.20.3n.3.1","Area.20.4n.3.1","Area.20.5n.3.1","Area.22.0.1","Area.22.1n.11.1","Area.22.1n.9.1","Area.22.1n.7.1","Area.22.2NMID1.1","Area.22.2NMID2.1","Area.22.2n.6.1","Area.21.5n.3.1","Area.23.0.1","Area.22.4n.6.1","Area.22.5n.6.1","Area.22.4n.3.1","Area.22.5n.3.1","Area.24.0.1","Area.22.6n.3.1","Area.24.1n.9.1","Quantity.12.0","Quantity.BHT","Quantity.13.0","Quantity.i.14.0","Quantity.14.0","Quantity.14.1n.9","Quantity.14.1n.7","Quantity.14.1n.5","Quantity.i.15.0","Quantity.ai.15.0","Quantity.15.0","Quantity.i16.0","Quantity.16.0","Quantity.16.1n.11","Quantity.16.1n.9","Quantity.16.1n.7","Quantity.16.1n.5","Quantity.17.1.a.","Quantity.i.17.0","Quantity.16.2n.6","Quantity.ai.17.0","Quantity.17.1.b.","Quantity.16.2n.4","Quantity.17.0","Quantity.Phytane","Quantity.16.3n.4","Quantity.17.1","Quantity.16.4n.3","Quantity.16.4n.1","Quantity.18.0","Quantity.18.1n.13","Quantity.18.1n.11","Quantity.18.1n.9","Quantity.18.1n.7","Quantity.18.1n.5","Quantity.18.2d5.11","Quantity.18.2n.7","Quantity.18.2n.6","Quantity.18.2n.4","Quantity.18.3n.6","Quantity.18.3n.4","Quantity.18.3n.3","Quantity.18.3n.1","Quantity.18.4n.3","Quantity.18.4n.1","Quantity.20.0","Quantity.20.1n.11","Quantity.20.1n.9","Quantity.20.1n.7","Quantity.20.2NMID1","Quantity.20.2n.9","Quantity.20.2NMID2","Quantity.20.2n.6","Quantity.20.3NMIT","Quantity.20.3n.6","Quantity.20.4n.6","Quantity.20.3n.3","Quantity.20.4n.3","Quantity.20.5n.3","Quantity.22.0","Quantity.22.1n.11","Quantity.22.1n.9","Quantity.22.1n.7","Quantity.22.2NMID1","Quantity.22.2NMID2","Quantity.22.2n.6","Quantity.21.5n.3","Quantity.23.0","Quantity.22.4n.6","Quantity.22.5n.6","Quantity.22.4n.3","Quantity.22.5n.3","Quantity.24.0","Quantity.22.6n.3","Quantity.24.1n.9","Total.Peak.Area","file","Area.DMA.1","Area.DMA.2","Area.DMA.1.1","Area.DMA.2.1","Quantity.DMA.1","Quantity.DMA.2"
"146","2025\08\28\SCAL_0357.DATA",6.7,3473.6,1.5,NA,166.7,3.6,NA,NA,6.3,1.9,72.1,34.8,2322.7,32.8,17.6,141.6,34.5,NA,64.6,3.4,11,6.2,7.8,73.5,55.4,NA,10.5,4.3,6.4,612.3,NA,13.4,110.1,474.4,27.1,8.1,5.2,32.2,35.1,4,NA,31.1,NA,139.6,3.7,3.7,96.4,69.5,NA,83.9,6.7,NA,47.2,5.7,7.3,118.2,22,32.6,2366.1,3.1,NA,NA,3.4,7.5,11.6,4.1,142.1,3058.8,10.9,54.4,NA,121.3,NA,4027.7,1.2,403.4,208417.1,89.3,NA,10001.5,217.1,NA,NA,378.8,115.8,4324.6,2087.8,139359.4,1967.5,1053.6,8498.5,2071.2,NA,3873.9,201.2,661.9,374.7,470.1,4410.9,3321.3,NA,631.2,257.4,386.3,36739.5,NA,805.1,6608.3,28464.4,1627.5,484,314.3,1934.2,2107.6,241,NA,1866.4,NA,8378.6,222.2,219.2,5786.6,4169.7,NA,5036.5,399.2,NA,2829.5,344.3,436.9,7093.7,1322.5,1955.5,141967.9,185.6,NA,NA,203.7,448.7,693.7,248.9,8527.7,183529.7,653.5,3261.1,NA,7276,NA,241660,74.1,0.04,0,0.01,NA,1.2,0.02,NA,NA,0.05,0.01,0.51,0.24,16.12,0.23,0.12,0.99,0.24,NA,0.44,0.02,0.08,0.04,0.05,0.5,0.39,NA,0.07,0.03,0.04,4.1,NA,0.09,0.74,3.19,0.18,0.05,0.04,0.22,0.23,0.03,NA,0.21,NA,0.93,0.02,0.02,0.63,0.46,NA,0.55,0.04,NA,0.31,0.04,0.05,0.77,0.14,0.21,15.35,0.02,NA,NA,0.02,0.05,0.08,0.03,0.92,19.85,0.07,0.35,NA,0.77,NA,25.13,0.01,18937.55,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",182,225.9,10921.1,13556.8,1.18,1.47
"147","2025\08\28\SCAL_0358.DATA",10.4,3342.6,2,NA,166,3.7,NA,NA,6.3,2.7,75.8,33.7,2173.7,36.9,17.9,153.1,31.6,NA,79.4,5.4,10,8,7.8,84.7,69.9,NA,14.3,4.2,5.9,564.9,NA,10.7,113.2,407.8,30,9.7,6,32.2,31.2,4.8,1.8,33.8,5.1,211.3,5.3,4.4,97.2,64.7,NA,116.9,7,NA,42.3,6.6,6.8,111.7,22.8,26.4,2225.5,4.5,1.4,NA,3.4,7,12.3,3.2,124,2781.8,14.2,57.2,NA,99.8,NA,3473.7,NA,625.3,200556.4,121.5,NA,9961.7,223.1,NA,NA,376.3,162.6,4546.1,2021.6,130421.9,2211.3,1075,9184.4,1893.7,NA,4764.5,326.9,601.3,481.7,466.8,5079.8,4194.4,NA,859.9,249.3,354.7,33894.9,NA,639.2,6793.7,24466.6,1797.9,582.2,358.5,1930.6,1869.4,287.6,106.8,2026.6,307.4,12676.5,320,263.4,5831.5,3881.9,NA,7012.5,420.2,NA,2539.9,395.1,405.5,6702.4,1366.3,1582.8,133528.6,270.8,83.1,NA,202.1,422.1,735.8,191.3,7437.6,166908.7,854.6,3430,NA,5987.3,NA,208420.9,NA,0.07,0,0.02,NA,1.28,0.03,NA,NA,0.05,0.02,0.58,0.25,16.2,0.28,0.13,1.15,0.24,NA,0.59,0.04,0.07,0.06,0.06,0.62,0.53,NA,0.1,0.03,0.04,4.06,NA,0.08,0.82,2.95,0.22,0.07,0.04,0.23,0.22,0.03,0.01,0.24,0.04,1.52,0.04,0.03,0.68,0.46,NA,0.82,0.05,NA,0.3,0.05,0.05,0.78,0.16,0.18,15.51,0.03,0.01,NA,0.02,0.05,0.09,0.02,0.86,19.39,0.1,0.39,NA,0.68,NA,23.28,NA,17710.97,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",205.9,226.3,12356.9,13579.7,1.44,1.58
"148","2025\08\28\SCAL_0359.DATA",12.5,2743.1,1.2,NA,129.5,NA,NA,NA,5.2,1.8,63.1,28.3,1959.8,29.6,13.5,106.6,29.4,NA,59.8,3.6,10.6,15.1,3.2,65.8,68.3,NA,7.4,3.8,3.4,499.6,NA,0,84.1,358.1,18.7,3.7,NA,25.2,19.6,2.6,NA,24.3,2.5,94.5,0.1,NA,78,63.9,NA,68.9,5.3,NA,39.6,2.9,5.5,123.6,12.8,18.7,1647.9,4.3,NA,NA,3.4,5.7,8.9,NA,81,2597.1,10,52.7,NA,84,NA,3420.1,NA,748.5,164583.9,75,NA,7768.3,NA,NA,NA,314.7,107.4,3785.8,1696.4,117588.7,1774.3,812.4,6395.5,1765.8,NA,3590.4,217.1,633.4,905.3,194.4,3946.9,4098.2,NA,441.2,226.9,205.5,29973.9,NA,0,5043.9,21486.3,1122.5,223.8,NA,1512.4,1177.5,153.4,NA,1459.9,151.7,5670.6,7.9,NA,4683,3834.5,NA,4131.4,317.2,NA,2376.4,175.3,332.9,7413.4,769.6,1124.9,98874.6,258,NA,NA,203.8,341.1,531.9,NA,4862.6,155823.8,598.7,3160.4,NA,5039.5,NA,205209,NA,0.1,0,0.01,NA,1.14,NA,NA,NA,0.05,0.02,0.55,0.24,16.7,0.25,0.12,0.91,0.25,NA,0.5,0.03,0.09,0.12,0.03,0.55,0.59,NA,0.06,0.03,0.03,4.1,NA,0,0.69,2.96,0.15,0.03,NA,0.21,0.16,0.02,NA,0.2,0.02,0.78,0,NA,0.63,0.51,NA,0.55,0.04,NA,0.32,0.02,0.04,0.98,0.1,0.15,13.13,0.03,NA,NA,0.03,0.05,0.07,NA,0.65,20.69,0.08,0.41,NA,0.66,NA,26.2,NA,15343.88,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",166.2,205.8,9974.8,12350.5,1.32,1.64
"149","2025\08\28\SCAL_0124.DATA",18.3,4720.7,1.2,4.2,105.4,NA,NA,NA,5.1,0.7,54.7,30,1856.3,26.5,15.8,158.2,24.5,NA,52.2,4.9,17.6,6.3,3.1,43.2,58.3,NA,8.3,NA,4.5,592.7,NA,0,125.8,538.9,14.1,4.1,NA,20.9,5.4,2.4,NA,18.1,3.3,180.5,4.7,3.5,70.5,68.9,NA,146.1,9.2,NA,29.7,3.5,3.2,92.1,33.8,30.1,1784.2,4,NA,NA,14.9,7.4,11,NA,91.1,2247.7,36.9,33.7,NA,94.6,NA,3096.7,12.4,1096.5,283239.1,70.3,251.5,6326.7,NA,NA,NA,304.5,44.3,3281.2,1799.9,111376.4,1589,947.4,9491.9,1470,NA,3130,291.9,1054.2,377.9,185.7,2594.2,3498,NA,496.9,NA,272.3,35559.8,NA,0.3,7545.2,32331.4,843.5,245.1,NA,1255.3,326.4,145.2,NA,1086.1,198.9,10828.1,284.5,211.9,4231.6,4136.8,NA,8763.5,549.3,NA,1783.5,208.2,189.4,5525.1,2028.6,1807.4,107049.3,241.8,NA,NA,895.6,442.6,662,NA,5468,134862.2,2213.1,2021.3,NA,5678.6,NA,185802.2,746.4,0.15,0,0.01,0.04,0.93,NA,NA,NA,0.04,0.01,0.48,0.26,15.85,0.23,0.14,1.36,0.21,NA,0.44,0.04,0.15,0.05,0.03,0.37,0.51,NA,0.07,NA,0.04,4.88,NA,0,1.04,4.46,0.12,0.03,NA,0.17,0.04,0.02,NA,0.15,0.03,1.49,0.04,0.03,0.57,0.56,NA,1.17,0.07,NA,0.24,0.03,0.03,0.74,0.27,0.24,14.24,0.03,NA,NA,0.12,0.06,0.09,NA,0.73,17.94,0.29,0.26,NA,0.74,NA,23.77,0.1,17335.1,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",209.2,274.7,12549.2,16483.4,1.67,2.19
"150","2025\08\28\SCAL_0125.DATA",22,2739,1,NA,95.8,NA,NA,NA,4.4,0.9,47.5,20.2,1760.2,27.4,13.5,96.5,24.4,NA,45.8,4.3,16.2,4.4,2.9,49.6,58,NA,7.1,NA,9.7,550.7,NA,0,101.8,381.7,16.6,2,NA,20.7,21.7,1.9,3,16.1,NA,121.8,4,4.4,64.8,61.4,NA,69.2,4.7,NA,32.2,4,3.3,96.2,12.2,21.2,1675.4,3.9,NA,2.8,NA,5.4,10.8,NA,84.8,2131.9,7.3,36.7,NA,73.8,NA,2938.9,NA,1318.4,164339.7,62.7,NA,5749.6,NA,NA,NA,261.3,55.5,2850.9,1213.6,105610.5,1641.2,810.1,5788.6,1464.8,NA,2748.8,257.7,972.2,264.4,175.6,2975.1,3481.5,NA,426.1,NA,580.6,33041.2,NA,0.3,6106.9,22904.3,998.4,119.8,NA,1242.4,1302.6,115,180.1,965.8,NA,7305.5,240.1,261.4,3886.8,3682.7,NA,4151.5,280.1,NA,1933.2,240.8,198.3,5771.6,730.1,1272.9,100521.7,234.9,NA,166.5,NA,322.1,645.1,NA,5089.5,127913.3,435.7,2204.6,NA,4427.6,NA,176331.9,NA,0.19,0,0.01,NA,0.93,NA,NA,NA,0.04,0.01,0.46,0.19,16.58,0.26,0.13,0.91,0.23,NA,0.43,0.04,0.15,0.04,0.03,0.46,0.56,NA,0.06,NA,0.09,5,NA,0,0.93,3.48,0.15,0.02,NA,0.19,0.2,0.02,0.03,0.15,NA,1.11,0.04,0.04,0.58,0.55,NA,0.61,0.04,NA,0.29,0.04,0.03,0.85,0.11,0.19,14.76,0.03,NA,0.02,NA,0.05,0.09,NA,0.75,18.78,0.06,0.32,NA,0.64,NA,24.89,NA,14085.01,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",150.6,210.5,9037.4,12627.1,1.33,1.85
"151","2025\08\28\SCAL_0126.DATA",26,1873.1,NA,NA,97,NA,NA,NA,3,NA,46.3,17.1,1645.4,22,10.9,94.6,20.8,NA,39.8,2.7,11.3,2.7,NA,45.2,46.8,NA,6.2,NA,8.9,489.1,NA,NA,79.4,338.9,16,2,NA,20.4,20.2,4.1,NA,15,2.4,107.6,NA,2.6,66.9,57.9,NA,80.4,6.1,NA,29.3,3.5,3.9,87.1,10.9,23.4,1694.5,3.7,NA,NA,NA,6.3,9.8,NA,81.3,1948.2,6.9,34.2,NA,78.5,NA,2608,NA,1563,112384.5,NA,NA,5817.5,NA,NA,NA,177.7,NA,2776.4,1024.7,98725.3,1317.3,653.4,5676.2,1246.9,NA,2386.4,162.6,680.6,162,NA,2711.4,2810.2,NA,374.7,NA,536,29346.1,NA,NA,4765,20333.7,959.3,119.5,NA,1223.4,1210.9,248.3,NA,903,144.9,6456,NA,156,4011.6,3476.4,NA,4824.2,367.3,NA,1755.6,208.3,236.5,5226,652,1405.9,101671.5,223.7,NA,NA,NA,378.7,590.7,NA,4877.3,116892.3,411.3,2054.8,NA,4708.4,NA,156482,NA,0.25,0,NA,NA,1.02,NA,NA,NA,0.03,NA,0.48,0.17,16.72,0.22,0.11,0.97,0.21,NA,0.4,0.03,0.11,0.03,NA,0.45,0.48,NA,0.06,NA,0.09,4.79,NA,NA,0.78,3.34,0.16,0.02,NA,0.2,0.2,0.04,NA,0.15,0.02,1.05,NA,0.02,0.64,0.56,NA,0.77,0.06,NA,0.28,0.03,0.04,0.83,0.1,0.22,16.1,0.04,NA,NA,NA,0.06,0.09,NA,0.77,18.52,0.06,0.32,NA,0.73,NA,23.83,NA,12431.47,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",152.7,196.3,9161.9,11775.8,1.45,1.87
"152","2025\08\28\SCAL_0127.DATA",16.3,4914.6,1.7,1.5,119.3,NA,NA,NA,4.7,NA,56.1,24.3,1950,30.6,16.2,101.1,28.6,NA,51.5,4.6,15,7.1,3,56.2,66.7,NA,9.5,2.7,4.2,590.6,NA,9.7,116.7,500.1,24,3.6,NA,26.1,28,2.3,4.2,22.7,8.6,148.6,NA,3.5,74.9,63.2,NA,106.7,6.6,NA,40.2,4,4,111.9,23,24.7,1959.8,4.2,NA,NA,6.4,5.5,11.8,3.5,92.2,2325.2,23.5,49.6,NA,98,NA,3678.6,7.7,976.7,294877.8,102.9,89.7,7159.6,NA,NA,NA,282.9,NA,3365.6,1458.4,117001.3,1834.8,972.3,6064.7,1714.4,NA,3092.2,278.2,898.9,429,183,3372.3,4001.7,NA,570.1,162.9,253.1,35433.5,NA,579.2,7002.7,30005.9,1437,213.8,NA,1568.1,1678.7,139.9,251.1,1364.7,513.6,8915.2,NA,211.2,4492,3792.8,NA,6401.5,394,NA,2409.4,241.8,239.9,6714.8,1381.1,1484.8,117590.7,250.1,NA,NA,381.3,328.4,706.4,210.4,5529.8,139515,1411.1,2977.2,NA,5880.1,NA,220716.3,461.2,0.12,0,0.01,0.01,0.99,NA,NA,NA,0.04,NA,0.46,0.2,15.67,0.25,0.13,0.82,0.23,NA,0.41,0.04,0.12,0.05,0.02,0.45,0.54,NA,0.07,0.02,0.03,4.58,NA,0.08,0.91,3.89,0.19,0.03,NA,0.2,0.22,0.02,0.03,0.18,0.07,1.15,NA,0.03,0.57,0.48,NA,0.81,0.05,NA,0.3,0.03,0.03,0.84,0.17,0.19,14.73,0.03,NA,NA,0.05,0.04,0.09,0.03,0.69,17.47,0.17,0.37,NA,0.72,NA,26.58,0.06,18296.8,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",194.8,237.3,11686.1,14239.5,1.46,1.78
"153","2025\08\28\SCAL_0128.DATA",20.5,4641.1,NA,NA,79.6,NA,NA,NA,3.3,0.9,44.9,23,1403.7,22.1,10.1,69.9,20.3,NA,43.9,2.1,7,3.7,2.4,46.1,58.5,NA,5.4,NA,10.5,421.7,1.3,NA,65.2,304.5,17,3.6,NA,18.2,13.8,4.2,NA,16,4.6,74.3,NA,2.4,71.7,58.3,NA,85.7,6.9,NA,31.2,3.9,3.4,105.3,14.3,19.6,1437.9,3.8,NA,NA,NA,6.6,9.4,NA,71.3,1909.7,15.1,40.6,NA,69.3,NA,2654.5,6.9,1230.9,278464.3,NA,NA,4776.4,NA,NA,NA,195.8,55.4,2696.4,1378.4,84221.3,1326.8,606.1,4195.3,1219,NA,2632.2,128.7,418.2,220.8,144.2,2768,3507.4,NA,325,NA,632,25300.5,75.2,NA,3910.7,18272.5,1020.4,213.4,NA,1093.6,828,254.3,NA,961.7,274,4456.9,NA,142.1,4300.4,3495,NA,5141.9,416.8,NA,1871.6,232.1,202.1,6320,859,1176.8,86272.8,228.6,NA,NA,NA,397.7,565.7,NA,4277.9,114581.7,906.3,2433.8,NA,4156.6,NA,159272.8,416.3,0.21,0,NA,NA,0.89,NA,NA,NA,0.04,0.01,0.5,0.25,15.23,0.24,0.11,0.76,0.22,NA,0.47,0.02,0.07,0.04,0.03,0.5,0.64,NA,0.05,NA,0.11,4.41,0.01,NA,0.69,3.2,0.18,0.04,NA,0.19,0.14,0.04,NA,0.17,0.05,0.78,NA,0.02,0.73,0.6,NA,0.87,0.07,NA,0.32,0.04,0.03,1.07,0.15,0.2,14.59,0.04,NA,NA,NA,0.07,0.1,NA,0.72,19.38,0.15,0.4,NA,0.69,NA,25.9,0.07,14512.98,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",147.4,194.7,8841.4,11684.4,1.5,1.98
"154","2025\08\28\SCAL_0129.DATA",20.2,2822.4,NA,NA,81.6,NA,NA,NA,3.8,1.1,38.8,19,1453.2,21.3,8.6,79.5,21.4,NA,48.7,3.9,9.5,4.8,2.9,44.8,46.5,NA,5.5,NA,2.9,440,NA,7.9,68.2,286.4,15.4,3.3,NA,14.9,15.8,4,NA,12.2,NA,87.4,0.1,2.5,49.2,50.3,NA,54.4,3.1,NA,26.5,2.6,2.3,90.7,10.1,12,1439.4,3.6,NA,NA,NA,4.9,6.4,NA,68.6,1818,8.4,31.3,NA,57.9,NA,2548.2,NA,1214.2,169345.3,NA,NA,4898,NA,NA,NA,230.8,66.6,2326.4,1140.3,87194.7,1277.3,518.2,4767.3,1282.7,NA,2922.6,231.9,568.5,289.8,174.6,2686.2,2787.1,NA,329.1,NA,174.9,26399,NA,471.5,4090.7,17186.3,926.7,195.3,NA,892.3,948.6,239.3,NA,732.9,NA,5243.6,4.9,152.7,2954.4,3015.6,NA,3263,185.3,NA,1592.5,154.2,135.6,5440.7,608.5,722.9,86362.3,217.7,NA,NA,NA,292.1,383.1,NA,4113.5,109078.1,503.7,1880.9,NA,3474.4,NA,152889.5,NA,0.21,0,NA,NA,0.95,NA,NA,NA,0.04,0.01,0.45,0.21,16.36,0.24,0.1,0.9,0.24,NA,0.54,0.04,0.11,0.05,0.03,0.5,0.53,NA,0.06,NA,0.03,4.77,NA,0.09,0.74,3.12,0.17,0.04,NA,0.16,0.17,0.04,NA,0.13,NA,0.95,0,0.03,0.52,0.53,NA,0.58,0.03,NA,0.28,0.03,0.02,0.95,0.11,0.13,15.15,0.04,NA,NA,NA,0.05,0.07,NA,0.72,19.13,0.09,0.32,NA,0.6,NA,25.78,NA,12383.66,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",123.5,146.1,7409.4,8767.1,1.3,1.54
"155","2025\08\28\SCAL_0348_1.DATA",16.5,2352.2,NA,NA,95.7,NA,NA,NA,3.2,1.1,46.1,17.1,1158.5,19.4,10.1,72.8,16.9,NA,33.7,3,5.2,3.6,2.9,45.3,38.9,NA,6.2,NA,7.5,346,NA,0,57.4,261.3,8.2,NA,NA,17.6,13.8,2.2,NA,15.7,2.4,78.9,NA,3,60.6,35.3,NA,55.7,5.3,NA,21.6,1.6,3.1,79.6,9.6,13.9,1120.4,3.8,NA,NA,NA,4.1,5.7,NA,62.6,1486,8.4,35,NA,64.2,NA,1940.6,NA,987.2,141129.9,NA,NA,5743.4,NA,NA,NA,191,63.4,2764.2,1028.8,69512.4,1163.7,607.3,4368.5,1015.9,NA,2022.3,181.7,311.9,213.9,172.6,2717.8,2332.6,NA,369.9,NA,448.1,20762.7,NA,0.1,3446.5,15677.2,489.8,NA,NA,1055.9,825.5,132,NA,944,141.1,4736.3,NA,182.8,3635.8,2116.8,NA,3343.6,319.3,NA,1295.5,94.5,183.4,4776.9,574.2,835.7,67226.1,226.8,NA,NA,NA,245.1,343.9,NA,3754.4,89162.8,504.2,2098.2,NA,3851.9,NA,116437.5,NA,0.21,0,NA,NA,1.37,NA,NA,NA,0.05,0.01,0.65,0.24,16.01,0.27,0.14,1.01,0.24,NA,0.46,0.04,0.07,0.05,0.04,0.62,0.55,NA,0.08,NA,0.1,4.61,NA,0,0.77,3.5,0.11,NA,NA,0.23,0.18,0.03,NA,0.21,0.03,1.05,NA,0.04,0.79,0.46,NA,0.72,0.07,NA,0.28,0.02,0.04,1.03,0.12,0.18,14.48,0.05,NA,NA,NA,0.05,0.07,NA,0.81,19.21,0.11,0.44,NA,0.81,NA,24.12,NA,10067.17,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",100,143.9,5998.5,8634.7,1.29,1.86
"156","2025\08\28\SCAL_0348_2.DATA",16.7,2387.2,1.1,NA,97.2,NA,NA,NA,3.3,NA,47,17.1,1169.5,19.2,9.6,73.9,17.2,NA,32.3,NA,5.3,3.6,3.2,45.4,40,NA,6.7,NA,2.5,351,NA,NA,58.1,265.1,12.1,2.4,NA,18,14.5,2.2,NA,15.5,NA,77.1,NA,3,61.7,35.4,NA,55.7,5.3,NA,22.5,0,2.8,81.2,9.2,13.8,1132.4,4.1,NA,NA,NA,4.4,5.9,NA,61.9,1483.6,7.9,35.6,NA,64.7,NA,1946.6,NA,999.5,143232.6,66.6,NA,5832,NA,NA,NA,200.1,NA,2820.9,1025.1,70172.1,1151.2,575.6,4435.9,1034.9,NA,1937.7,NA,317.9,213.4,189.1,2726.1,2401.9,NA,404.9,NA,148.7,21058.7,NA,NA,3485.8,15904.3,724.6,141.5,NA,1081.2,870.1,133.7,NA,930.2,NA,4628.5,NA,178.7,3702.2,2123,NA,3341,316.4,NA,1352.8,0.4,168.2,4872.8,551.9,827.2,67944.7,248.1,NA,NA,NA,262.6,354.1,NA,3715.6,89014.1,472,2136.8,NA,3881.5,NA,116793.2,NA,0.21,0,0.02,NA,1.38,NA,NA,NA,0.05,NA,0.66,0.23,16.08,0.27,0.13,1.02,0.24,NA,0.44,NA,0.07,0.05,0.04,0.62,0.56,NA,0.09,NA,0.03,4.65,NA,NA,0.77,3.53,0.16,0.03,NA,0.24,0.19,0.03,NA,0.21,NA,1.02,NA,0.04,0.8,0.46,NA,0.72,0.07,NA,0.29,0,0.04,1.04,0.12,0.18,14.55,0.05,NA,NA,NA,0.06,0.08,NA,0.8,19.07,0.1,0.45,NA,0.82,NA,24.06,NA,10163.27,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_10-25_2025-11-14.csv",103.7,145.3,6224.3,8716.9,1.33,1.87
